column,category_name,description
"마사지, 스트레칭",불규칙,마사지와 스트레칭을 불규칙하게 하거나 가끔씩만 하는 경우
"마사지, 스트레칭",안함,마사지와 스트레칭을 전혀 하지 않는 경우
"마사지, 스트레칭",마사지 위주,마사지는 하지만 스트레칭은 잘 하지 않는 경우
PI,측두하악장애 진단,"파노라마, CT 촬영, 측두하악장애 분석검사 등을 통해 턱관절 질환을 진단하는 내용이 포함됩니다. 주로 턱관절의 퇴행성 관절염(K07.65) 진단이 많이 언급되었습니다."
PI,물리치료 및 자극요법,"저작근 장애(K07.66) 등을 치료하기 위해 다양한 물리치료와 자극요법이 시행되었습니다. 측두하악관절 단순/전기/복합 자극요법, 분사신장치료 등이 자주 언급되었습니다."
PI,교합안정장치 치료,"턱관절 질환 및 치아 교모를 해결하기 위해 교합안정장치(Splint) 치료가 많이 이루어졌습니다. APS, SS 등의 장치 종류가 언급되었고, 장치 제작을 위한 인상채득과 장치 장착 및 조정이 이루어졌습니다."
PI,약물 처방,"턱관절 및 저작근 질환의 통증 조절과 치료를 위해 페리슨, 세크로, 리보트릴, 소론도 등 다양한 약물이 처방되었습니다."
PI,기타 치료,"보톡스 시술, 악관절 강세척술, 고착해소술, 교합조정, 발치 등 턱관절 질환 및 교합 문제 해결을 위한 다양한 치료가 시행되었습니다. 또한 치아 마모, 파절 등의 문제를 해결하기 위한 보철 치료도 일부 언급되었습니다."
CMO,mm_after_treatment,치료(spray and stretch) 후 mm 단위로 측정된 값
CMO,mm_before_treatment,치료 전 mm 단위로 측정된 초기값
CMO,pain_popping_etc,"통증, 턱 떨림, 덜컥거림 등 증상에 대한 설명"
CMO,treatment_method,"적용된 치료 방법 (예: spray and stretch, 고착 등)"
MMO,초기 개구량,처치 전 초기 개구량을 mm 단위로 측정한 값입니다. 개구 제한 정도를 파악할 수 있습니다.
MMO,처치 후 개구량,"spray, stretch, 고착 등의 처치 후 개선된 개구량을 mm 단위로 측정한 값입니다. 처치에 따른 개구량 변화를 확인할 수 있습니다."
MMO,통증 여부,개구 시 통증 호소 여부를 pain 또는 no pain으로 표시하고 있습니다. 개구 제한과 연관된 통증을 파악할 수 있습니다.
MMO,좌우 구분,"Lt(left), Rt(right)로 증상의 방향성을 구분하고 있습니다. 편측성 개구 제한을 확인할 수 있습니다."
MMO,기타 증상,"개구 시 걸림(catch), 뻐근함, 관절 잡음(popping) 등 개구 제한과 동반된 기타 증상을 기록하고 있습니다."
Cap.pal,Negative,'-'로 표시된 음성 결과를 나타냅니다. 이는 정상 소견을 의미할 수 있습니다.
Cap.pal,Unilateral Positive,"'Rt)+', 'Lt)+' 등으로 표시된 편측성 양성 소견입니다. 우측(Rt) 또는 좌측(Lt)에 국한된 이상 징후를 나타냅니다."
Cap.pal,Bilateral Positive,"'both)+', 'BOTH)Cap+' 등으로 표시된 양측성 양성 소견입니다. 좌우 양쪽에서 관찰되는 이상 징후를 의미합니다."
Cap.pal,Severity,"'Lt > Rt', '턱떨림 심함' 등 이상 징후의 정도나 심각도를 나타내는 표현입니다. 경증에서 중증까지 다양할 수 있습니다."
Cap.pal,Unspecified,"'n/s', 'RT CAP' 등 분류하기 애매하거나 의미가 명확하지 않은 값들입니다. 추가 정보가 필요한 경우들입니다."
M.pal,Masseter 통증,"좌측(Lt), 우측(Rt) 또는 양측(both) 교근(Masseter)의 통증 정도를 나타냄. 경도(+/-), 중등도(+), 고도(++)로 표현됨."
M.pal,Temporalis 통증,"좌측(Lt), 우측(Rt) 또는 양측(both) 측두근(Temporalis)의 통증을 나타냄. 주로 anterior, mid, posterior 부위로 구분됨."
M.pal,압통점(Tender Point),"좌측(Lt), 우측(Rt) 또는 양측(both)에 압통점이 있음을 나타냄. 압통점은 근막동통증후군의 주요 진단 기준 중 하나임."
M.pal,SCM 연관통,"흉쇄유돌근(Sternocleidomastoid, SCM)의 긴장으로 인해 측두부(Temporalis)로 연관통이 나타나는 것을 의미함."
M.pal,기타 소견,"클릭음(click) 변화, 개구량 변화 등 기타 임상적으로 의미 있는 소견을 나타냄."
Noise,Click,"관절을 움직일 때 '딱' 소리가 나는 현상으로, 관절 내 구조물들이 부딪히며 발생하는 소리입니다."
Noise,Popping,"관절을 움직일 때 '뻑뻑' 소리가 나는 현상으로, 관절 내 기체가 빠르게 빠져나가며 발생하는 소리입니다."
Noise,Crepitus,"관절을 움직일 때 '지직지직' 소리가 나는 현상으로, 관절 연골 표면이 거칠어지며 발생하는 소리입니다."
Noise,None,"특별한 관절음이 없는 경우로, 정상 범주에 속합니다."
Loading,결측치,'-'로 표시된 결측치가 대부분을 차지하고 있어 데이터 품질 개선이 필요해 보입니다. 결측치 처리 방안을 마련하는 것이 중요할 것 같습니다.
Loading,추가조사필요,'-'로 표시된 값들이 실제로 어떤 의미를 갖는지 추가 조사가 필요해 보입니다. 데이터 수집 과정을 점검하고 '-'값에 대한 정보를 수집하는 것이 도움될 것 같습니다.
Loading,이상치제거,"'-' 이외의 값이 존재한다면 그것이 유효한 값인지, 아니면 이상치인지 판단하여 이상치는 제거하는 것이 좋겠습니다."
Occlusion,정상교합,"구치부 교합이 정상적으로 이루어지는 경우. 예) 4567/4567, both4567"
Occlusion,부분교합,"구치부 일부 치아만 교합되는 경우. 예) 567/567, Lt)4567 Rt)567"
Occlusion,비접촉,"특정 치아가 교합되지 않는 경우. 예) 양쪽 4번 안닿음, Rt 4,5 안닿음"
Occlusion,마모/상실,"치아 마모나 상실로 인한 교합 이상. 예) 6번 닳아있음, 치아결손"
Occlusion,기타,"다른 카테고리에 속하지 않는 교합 양상. 예) open bite 경향, 반대교합"
OJ/OB,정상 범위,OJ와 OB가 2-4mm 사이로 정상 범위에 속하는 경우
OJ/OB,과도한 수평피개,OJ가 4mm 이상으로 수평적 과도한 피개를 보이는 경우
OJ/OB,과도한 수직피개,OB가 음수값을 가지거나 4mm 이상으로 수직적 과도한 피개를 보이는 경우
OJ/OB,전치부 개방교합,OJ 또는 OB가 0 또는 음수값을 가져 전치부 개방교합을 보이는 경우
OJ/OB,측정 불가,OJ/OB 값이 기록되지 않았거나 측정이 어려운 경우
Class,숫자형,"1, 2, 3 등의 숫자 값을 가지는 카테고리입니다. 가장 많은 비중을 차지하고 있습니다."
Class,문자형,"s, E 등의 문자 값을 가지는 카테고리입니다. 숫자형 다음으로 많은 비중을 차지합니다."
Class,기타,숫자나 문자가 아닌 값을 가지는 카테고리입니다. '합' 등의 값이 여기에 해당됩니다.
Class,결측치,값이 존재하지 않는 결측치에 해당하는 카테고리입니다. 전체의 약 10%를 차지하고 있습니다.
Midline Shift,상악 편위,상악이 왼쪽 또는 오른쪽으로 편위된 경우. 편위 방향과 정도(mm)를 포함.
Midline Shift,하악 편위,하악이 왼쪽 또는 오른쪽으로 편위된 경우. 편위 방향과 정도(mm)를 포함.
Midline Shift,편위 없음,"상악과 하악에 편위가 관찰되지 않는 경우. '-', '없음', 'n/s' 등으로 표기."
Midline Shift,측정 불가,편위 여부를 판단할 수 없거나 측정값이 누락된 경우.
Deviation,Left,왼쪽으로 편위(Deviation)가 있는 경우
Deviation,Right,오른쪽으로 편위(Deviation)가 있는 경우
Deviation,Straight,편위 없이 일직선(Straight)인 경우
Deviation,Mixed,왼쪽과 오른쪽 편위가 혼재되어 있는 경우
Deviation,Unspecified,편위 정도가 명시되지 않은 경우
CR-CO,없음,CR-CO 차이가 거의 없거나 없는 경우
CR-CO,1mm 이하,"CR-CO 차이가 1mm 이하인 경우 (예: 0.5mm, 1mm 등)"
CR-CO,1-2mm,CR-CO 차이가 1mm에서 2mm 사이인 경우
CR-CO,2mm 초과,CR-CO 차이가 2mm를 초과하는 경우
CR-CO,방향 표시,"CR-CO 차이의 방향이 명시된 경우 (예: 오른쪽, 왼쪽, 뒤 등)"
Tongue ridging,Positive,"Tongue ridging이 관찰되는 경우로, '+', '++', '심함' 등의 값을 포함합니다. 정도에 따라 세부 분류가 가능할 것으로 보입니다."
Tongue ridging,Negative,"Tongue ridging이 관찰되지 않는 경우로, '-' 값에 해당합니다."
Tongue ridging,Not specified,"Tongue ridging 여부가 명시되지 않은 경우로, 'n/s' 값을 포함합니다. 추가 조사가 필요한 케이스일 수 있습니다."
Tongue ridging,Mild,'살짝'과 같이 경미한 수준의 tongue ridging을 나타내는 경우입니다. Positive 카테고리의 하위 분류로 고려해볼 수 있습니다.
Mucosal ridging,Positive,"Mucosal ridging이 존재하는 경우로, '+', '++', '약하게', '조금', '심함' 등의 값이 해당됩니다."
Mucosal ridging,Negative,"Mucosal ridging이 관찰되지 않는 경우로, '-' 값이 해당됩니다."
Mucosal ridging,Not specified,"Mucosal ridging 여부가 명시되지 않은 경우로, 'n/s' 값이 해당됩니다."
Mucosal ridging,Indeterminate,"Mucosal ridging 존재 여부가 불확실한 경우로, '(+/-)' 값이 해당됩니다."
Rt,정상,Rt 값이 0.8 ~ 1.3 사이로 정상 범위에 있는 경우
Rt,경도 이상,Rt 값이 1.3 ~ 1.8 사이로 경도의 이상이 의심되는 경우
Rt,중등도 이상,Rt 값이 1.8 ~ 2.3 사이로 중등도의 이상이 의심되는 경우
Rt,고도 이상,Rt 값이 2.3 이상으로 고도의 이상이 의심되는 경우
Rt,측정 불가,Rt 값이 존재하지 않거나 측정이 불가능한 경우
Lt,정상범위,Lt 값이 정상 범위인 0.8 ~ 1.2 사이에 있는 경우
Lt,경도상승,Lt 값이 1.2 ~ 1.5 사이로 약간 상승한 경우
Lt,중등도상승,Lt 값이 1.5 ~ 2.0 사이로 중간 정도 상승한 경우
Lt,고도상승,Lt 값이 2.0 이상으로 크게 상승한 경우
Lt,측정누락,Lt 값이 측정되지 않았거나 기록되지 않은 경우
Lateral excursion Protrusive excursion,측정값 없음,"'-'로 표시된 측정값이 없는 경우로, 데이터의 대부분을 차지함"
Lateral excursion Protrusive excursion,측정 불가,'n/s'로 표시된 측정이 불가능한 경우
Lateral excursion Protrusive excursion,방향성 있는 측정값,'Rt +'와 같이 방향성을 나타내는 측정값이 존재하는 경우
Lateral excursion Protrusive excursion,기타,위 카테고리에 해당되지 않는 나머지 케이스들
End feel,Soft,"End feel이 부드럽고 유연한 경우로, 대부분의 데이터가 이에 해당됩니다. 정상적인 조직 상태를 나타낼 수 있습니다."
End feel,Hard,"End feel이 단단하고 뻣뻣한 경우로, 소수의 데이터에서 관찰됩니다. 비정상적인 조직 변화나 병리학적 상태를 시사할 수 있습니다."
End feel,Intermediate,"Soft와 Hard의 중간 정도의 End feel로, 경계선상의 상태를 나타낼 수 있습니다. 추가적인 검사가 필요할 수 있습니다."
End feel,Not specified,"End feel이 명시되지 않은 경우로, 누락된 데이터를 나타냅니다. 데이터 품질 개선이 필요할 수 있습니다."
치료계획,물리치료,물리치료를 통한 증상 완화 및 관리
치료계획,장치 관리,"교정장치, 스플린트 등의 장치 체크 및 조정"
치료계획,습관 조절,"이갈이, 악습관 등의 습관 교정을 위한 지도"
치료계획,약물/주사 치료,"MMTT, 보톡스, PDRN 등의 약물이나 주사요법"
치료계획,경과 관찰,"증상 체크, 방사선 촬영 등을 통한 주기적 검진 및 경과 확인"
